"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"19/02/2021";"1800";"25,8";"66,0";"883,0";"0,0";"0,0";"8,8";"";"";"";""
"20/02/2021";"0000";"20,4";"94,0";"885,3";"0,0";"0,0";"8,8";"3,00";"27,7";"";""
"20/02/2021";"1200";"21,4";"87,0";"887,7";"3,1";"230,0";"8,8";"";"";"20,2";"1,8"
"20/02/2021";"1800";"24,8";"72,0";"883,9";"5,1";"50,0";"10,0";"";"";"";""
"21/02/2021";"0000";"19,8";"97,0";"885,3";"0,0";"0,0";"10,0";"2,90";"25,3";"";""
"21/02/2021";"1200";"21,3";"91,0";"887,7";"5,1";"320,0";"8,8";"";"";"19,3";"21,0"
"21/02/2021";"1800";"24,1";"70,0";"885,4";"5,1";"320,0";"8,8";"";"";"";""
"22/02/2021";"0000";"19,2";"97,0";"887,5";"0,0";"0,0";"10,0";"4,90";"26,1";"";""
"22/02/2021";"1200";"19,3";"87,0";"887,1";"0,0";"0,0";"8,8";"";"";"17,2";"44,4"
"22/02/2021";"1800";"25,3";"59,0";"884,9";"3,1";"50,0";"2,5";"";"";"";""
"23/02/2021";"0000";"20,6";"87,0";"886,6";"1,0";"50,0";"10,0";"4,70";"27,1";"";""
"23/02/2021";"1200";"22,5";"77,0";"887,7";"3,1";"50,0";"3,8";"";"";"18,3";"0,0"
"23/02/2021";"1800";"23,1";"82,0";"885,5";"8,7";"320,0";"8,8";"";"";"";""
"24/02/2021";"0000";"19,7";"91,0";"887,7";"0,0";"0,0";"7,5";"4,60";"27,4";"";""
"24/02/2021";"1200";"22,3";"76,0";"888,9";"1,0";"320,0";"7,5";"";"";"17,7";"6,2"
"24/02/2021";"1800";"24,0";"71,0";"886,1";"3,1";"140,0";"8,8";"";"";"";""
"25/02/2021";"0000";"20,4";"87,0";"885,8";"0,0";"0,0";"2,5";"2,80";"25,7";"";""
"25/02/2021";"1200";"22,8";"81,0";"887,3";"0,0";"0,0";"2,5";"";"";"18,4";"2,4"
"25/02/2021";"1800";"23,9";"71,0";"883,4";"0,0";"0,0";"8,8";"";"";"";""
"26/02/2021";"0000";"20,1";"92,0";"884,3";"0,0";"0,0";"2,5";"0,00";"23,3";"";""
"26/02/2021";"1200";"20,8";"88,0";"885,8";"1,0";"320,0";"10,0";"";"";"18,6";"16,4"
"26/02/2021";"1800";"22,0";"81,0";"884,5";"3,1";"230,0";"10,0";"";"";"";""
"27/02/2021";"0000";"19,1";"90,0";"884,7";"0,0";"0,0";"10,0";"0,10";"24,3";"";""
"27/02/2021";"1200";"19,1";"95,0";"885,9";"0,0";"0,0";"10,0";"";"";"18,7";"2,0"
"27/02/2021";"1800";"19,2";"95,0";"883,7";"0,0";"0,0";"10,0";"";"";"";""
"28/02/2021";"0000";"18,1";"96,0";"885,5";"0,0";"0,0";"10,0";"0,80";"23,2";"";""
"28/02/2021";"1200";"19,1";"84,0";"886,7";"1,0";"50,0";"10,0";"";"";"16,9";"27,4"
"28/02/2021";"1800";"21,7";"79,0";"884,3";"3,1";"50,0";"8,8";"";"";"";""
"01/03/2021";"0000";"19,0";"94,0";"883,8";"0,0";"0,0";"8,8";"6,50";"24,9";"";""
"01/03/2021";"1200";"20,5";"76,0";"885,7";"0,0";"0,0";"8,8";"";"";"18,6";"3,4"
"01/03/2021";"1800";"23,4";"64,0";"883,0";"4,1";"50,0";"8,8";"";"";"";""
"02/03/2021";"0000";"20,3";"86,0";"883,7";"4,1";"140,0";"1,3";"7,50";"26,1";"";""
"02/03/2021";"1200";"21,2";"78,0";"887,1";"3,1";"140,0";"8,8";"";"";"18,3";"0,2"
"02/03/2021";"1800";"25,5";"58,0";"884,7";"2,1";"50,0";"7,5";"";"";"";""
"03/03/2021";"0000";"21,2";"79,0";"887,4";"1,0";"50,0";"1,3";"9,60";"27,2";"";""
"03/03/2021";"1200";"21,2";"75,0";"889,3";"3,1";"90,0";"2,5";"";"";"18,4";"0,0"
"03/03/2021";"1800";"26,6";"53,0";"886,7";"2,1";"50,0";"2,5";"";"";"";""
"04/03/2021";"0000";"22,8";"67,0";"887,7";"0,0";"0,0";"1,3";"9,80";"28,3";"";""
"04/03/2021";"1200";"23,0";"59,0";"887,7";"2,1";"50,0";"3,8";"";"";"16,8";"0,0"
"04/03/2021";"1800";"26,9";"48,0";"886,5";"1,0";"320,0";"7,5";"";"";"";""
"05/03/2021";"0000";"23,4";"66,0";"886,3";"1,0";"50,0";"7,5";"8,80";"29,6";"";""
"05/03/2021";"1200";"23,9";"69,0";"887,5";"0,0";"0,0";"2,5";"";"";"18,4";"0,0"
"05/03/2021";"1800";"28,8";"43,0";"883,8";"3,1";"320,0";"5,0";"";"";"";""
"06/03/2021";"0000";"22,5";"70,0";"885,5";"0,0";"0,0";"1,3";"8,90";"30,0";"";""
"06/03/2021";"1200";"23,8";"68,0";"886,6";"2,1";"230,0";"2,5";"";"";"18,2";"0,0"
"06/03/2021";"1800";"27,1";"46,0";"884,2";"5,1";"230,0";"7,5";"";"";"";""
"07/03/2021";"0000";"19,6";"87,0";"884,9";"1,0";"230,0";"7,5";"6,10";"27,9";"";""
"07/03/2021";"1200";"21,0";"86,0";"887,9";"0,0";"0,0";"8,8";"";"";"18,7";"0,1"
"07/03/2021";"1800";"27,0";"53,0";"884,2";"3,1";"50,0";"5,0";"";"";"";""
"08/03/2021";"0000";"21,7";"79,0";"886,5";"0,0";"0,0";"3,8";"3,00";"25,4";"";""
"08/03/2021";"1200";"22,2";"76,0";"887,7";"1,0";"320,0";"7,5";"";"";"18,3";"3,8"
"08/03/2021";"1800";"21,5";"82,0";"884,9";"1,0";"180,0";"10,0";"";"";"";""
"09/03/2021";"0000";"18,4";"96,0";"886,9";"0,0";"0,0";"7,5";"6,80";"27,2";"";""
"09/03/2021";"1200";"20,8";"83,0";"886,6";"0,0";"0,0";"8,8";"";"";"17,3";"49,4"
"09/03/2021";"1800";"26,5";"52,0";"887,1";"0,0";"0,0";"3,8";"";"";"";""
"10/03/2021";"0000";"21,0";"83,0";"885,1";"0,0";"0,0";"8,8";"1,60";"25,9";"";""
"10/03/2021";"1200";"19,7";"87,0";"886,3";"2,1";"320,0";"8,8";"";"";"18,5";"0,0"
"10/03/2021";"1800";"25,0";"56,0";"883,3";"5,1";"320,0";"7,5";"";"";"";""
"11/03/2021";"0000";"20,0";"89,0";"885,7";"0,0";"0,0";"7,5";"5,00";"26,7";"";""
"11/03/2021";"1200";"21,5";"83,0";"887,4";"3,1";"50,0";"7,5";"";"";"17,8";"0,0"
"11/03/2021";"1800";"25,7";"64,0";"885,1";"4,1";"320,0";"8,8";"";"";"";""
"12/03/2021";"0000";"20,9";"86,0";"886,6";"0,0";"0,0";"6,3";"2,30";"27,5";"";""
"12/03/2021";"1200";"20,9";"87,0";"888,3";"2,1";"140,0";"7,5";"";"";"18,5";"0,0"
"12/03/2021";"1800";"17,9";"98,0";"885,7";"6,2";"140,0";"8,8";"";"";"";""
"13/03/2021";"0000";"20,1";"93,0";"886,9";"0,0";"0,0";"10,0";"2,80";"27,0";"";""
"13/03/2021";"1200";"22,4";"84,0";"887,9";"0,0";"0,0";"8,8";"";"";"17,2";"44,2"
"13/03/2021";"1800";"26,4";"50,0";"884,9";"3,1";"50,0";"8,8";"";"";"";""
"14/03/2021";"0000";"21,9";"80,0";"887,4";"0,0";"0,0";"7,5";"5,40";"26,9";"";""
"14/03/2021";"1200";"22,1";"78,0";"888,7";"1,0";"140,0";"3,8";"";"";"19,0";"1,4"
"14/03/2021";"1800";"26,4";"53,0";"885,7";"2,1";"50,0";"7,5";"";"";"";""
"15/03/2021";"0000";"18,9";"97,0";"888,1";"1,0";"140,0";"10,0";"3,10";"26,4";"";""
"15/03/2021";"1200";"22,2";"80,0";"888,9";"0,0";"0,0";"3,8";"";"";"18,2";"28,0"
"15/03/2021";"1800";"25,0";"64,0";"885,5";"0,0";"0,0";"10,0";"";"";"";""
"16/03/2021";"0000";"19,7";"89,0";"886,5";"0,0";"0,0";"8,8";"0,70";"25,5";"";""
"16/03/2021";"1200";"20,6";"81,0";"887,7";"1,0";"50,0";"10,0";"";"";"18,6";"14,4"
"16/03/2021";"1800";"24,2";"64,0";"884,2";"1,0";"50,0";"8,8";"";"";"";""
"17/03/2021";"0000";"21,5";"83,0";"885,7";"1,0";"50,0";"7,5";"0,60";"24,8";"";""
"17/03/2021";"1200";"22,2";"69,0";"886,7";"1,0";"140,0";"10,0";"";"";"19,8";"0,0"
"17/03/2021";"1800";"24,2";"61,0";"883,7";"0,0";"0,0";"8,8";"";"";"";""
"18/03/2021";"0000";"20,3";"85,0";"885,4";"0,0";"0,0";"8,8";"4,20";"26,5";"";""
"18/03/2021";"1200";"21,1";"72,0";"886,3";"1,0";"50,0";"10,0";"";"";"18,4";"0,0"
"18/03/2021";"1800";"25,8";"56,0";"883,1";"2,1";"140,0";"7,5";"";"";"";""
"19/03/2021";"0000";"19,9";"90,0";"885,4";"0,0";"0,0";"5,0";"3,10";"25,8";"";""
"19/03/2021";"1200";"21,4";"83,0";"886,9";"0,0";"0,0";"7,5";"";"";"18,2";"0,0"
"19/03/2021";"1800";"24,5";"63,0";"884,9";"7,2";"50,0";"8,8";"";"";"";""
"20/03/2021";"0000";"18,1";"93,0";"886,6";"0,0";"0,0";"2,5";"9,90";"27,6";"";""
"20/03/2021";"1200";"21,9";"79,0";"889,4";"2,1";"50,0";"3,8";"";"";"17,4";"5,1"
"20/03/2021";"1800";"26,9";"51,0";"886,7";"3,1";"140,0";"5,0";"";"";"";""
