"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"10/02/2021";"0000";"23,8";"67,0";"950,6";"1,0";"180,0";"2,0";"9,70";"30,8";"";""
"10/02/2021";"1200";"24,9";"58,0";"952,4";"2,0";"140,0";"1,0";"";"";"19,6";"0,0"
"10/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/02/2021";"0000";"25,9";"61,0";"949,4";"2,0";"140,0";"2,0";"3,50";"26,7";"";""
"11/02/2021";"1200";"20,4";"89,0";"952,6";"2,0";"320,0";"10,0";"";"";"20,0";"0,0"
"11/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/02/2021";"0000";"22,5";"80,0";"950,6";"2,0";"50,0";"6,0";"0,30";"24,7";"";""
"12/02/2021";"1200";"22,0";"79,0";"951,6";"2,0";"50,0";"10,0";"";"";"19,2";"0,6"
"12/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/02/2021";"0000";"22,9";"87,0";"950,3";"0,0";"0,0";"9,0";"8,90";"30,3";"";""
"13/02/2021";"1200";"22,7";"87,0";"951,2";"1,0";"90,0";"10,0";"";"";"19,8";"0,3"
"13/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/02/2021";"0000";"25,7";"70,0";"947,8";"1,0";"230,0";"4,0";"2,70";"27,3";"";""
"14/02/2021";"1200";"23,1";"85,0";"949,0";"2,0";"360,0";"10,0";"";"";"20,7";"0,0"
"14/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/02/2021";"0000";"21,5";"83,0";"947,6";"2,0";"140,0";"4,0";"11,20";"29,9";"";""
"15/02/2021";"1200";"22,7";"82,0";"949,4";"0,0";"0,0";"4,0";"";"";"17,4";"1,4"
"15/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/02/2021";"0000";"24,1";"77,0";"946,2";"0,0";"0,0";"0,0";"9,60";"32,2";"";""
"16/02/2021";"1200";"25,7";"76,0";"947,4";"0,0";"0,0";"1,0";"";"";"19,4";"0,0"
"16/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/02/2021";"0000";"23,9";"78,0";"946,3";"1,0";"230,0";"5,0";"11,50";"31,1";"";""
"17/02/2021";"1200";"25,4";"74,0";"947,1";"1,0";"230,0";"4,0";"";"";"20,6";"0,5"
"17/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/02/2021";"0000";"25,4";"58,0";"945,8";"1,0";"230,0";"0,0";"12,00";"30,6";"";""
"18/02/2021";"1200";"23,8";"61,0";"947,4";"2,0";"230,0";"0,0";"";"";"19,2";"0,0"
"18/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"19/02/2021";"0000";"24,3";"45,0";"946,8";"1,0";"230,0";"0,0";"12,00";"31,5";"";""
"19/02/2021";"1200";"23,4";"56,0";"949,2";"1,0";"140,0";"0,0";"";"";"17,9";"0,0"
"19/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"20/02/2021";"0000";"25,5";"48,0";"948,7";"1,0";"180,0";"0,0";"9,70";"33,5";"";""
"20/02/2021";"1200";"25,9";"66,0";"951,6";"4,0";"90,0";"0,0";"";"";"18,7";"0,0"
"20/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"21/02/2021";"0000";"27,3";"60,0";"949,5";"2,0";"140,0";"0,0";"9,70";"33,2";"";""
"21/02/2021";"1200";"25,7";"62,0";"952,0";"2,0";"90,0";"5,0";"";"";"21,6";"0,0"
"21/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"22/02/2021";"0000";"28,1";"56,0";"949,9";"1,0";"90,0";"0,0";"10,80";"33,3";"";""
"22/02/2021";"1200";"26,4";"58,0";"952,4";"2,0";"90,0";"5,0";"";"";"21,2";"0,0"
"22/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"23/02/2021";"0000";"27,8";"59,0";"949,6";"0,0";"0,0";"0,0";"11,00";"34,9";"";""
"23/02/2021";"1200";"27,7";"61,0";"952,2";"2,0";"90,0";"0,0";"";"";"22,5";"0,0"
"23/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"24/02/2021";"0000";"29,3";"50,0";"949,5";"1,0";"140,0";"0,0";"6,70";"35,0";"";""
"24/02/2021";"1200";"29,3";"60,0";"951,0";"1,0";"50,0";"3,0";"";"";"22,3";"0,0"
"24/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
